director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,Action Adventure Fantasy pirates of the caribbean: at world's end Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,Action Adventure Thriller spectre Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,Action Thriller the dark knight rises Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,Documentary star wars: episode vii - the force awakens             Doug Walker Rob Walker unknown Doug Walker
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,Action Adventure Sci-Fi john carter Daryl Sabara Samantha Morton Polly Walker Andrew Stanton
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Adventure Animation Comedy Family Fantasy Musical Romance tangled Brad Garrett Donna Murphy M.C. Gainey Nathan Greno
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,Action Adventure Sci-Fi avengers: age of ultron Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,Adventure Family Fantasy Mystery harry potter and the half-blood prince Alan Rickman Daniel Radcliffe Rupert Grint David Yates
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,Action Adventure Sci-Fi batman v superman: dawn of justice Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,Action Adventure Sci-Fi superman returns Kevin Spacey Marlon Brando Frank Langella Bryan Singer
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,Action Adventure quantum of solace Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Action Adventure Fantasy pirates of the caribbean: dead man's chest Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,Action Adventure Western the lone ranger Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,Action Adventure Fantasy Sci-Fi man of steel Henry Cavill Christopher Meloni Harry Lennix Zack Snyder
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Action Adventure Family Fantasy the chronicles of narnia: prince caspian Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Action Adventure Fantasy pirates of the caribbean: on stranger tides Johnny Depp Sam Claflin Stephen Graham Rob Marshall
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi men in black 3 Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,Adventure Fantasy the hobbit: the battle of the five armies Aidan Turner Adam Brown James Nesbitt Peter Jackson
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,Action Adventure Fantasy the amazing spider-man Emma Stone Andrew Garfield Chris Zylka Marc Webb
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,Action Adventure Drama History robin hood Mark Addy William Hurt Scott Grimes Ridley Scott
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,Adventure Fantasy the hobbit: the desolation of smaug Aidan Turner Adam Brown James Nesbitt Peter Jackson
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,Adventure Family Fantasy the golden compass Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,Drama Romance titanic Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,Action Adventure Sci-Fi captain america: civil war Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,Action Adventure Sci-Fi Thriller battleship Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,Action Adventure Sci-Fi Thriller jurassic world Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,Action Adventure Fantasy Romance spider-man 2 J.K. Simmons James Franco Kirsten Dunst Sam Raimi
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,Action Adventure Sci-Fi iron man 3 Robert Downey Jr. Jon Favreau Don Cheadle Shane Black
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller x-men: the last stand Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,Adventure Animation Comedy Family Fantasy monsters university Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,Action Adventure Sci-Fi transformers: revenge of the fallen Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,Action Adventure Sci-Fi transformers: age of extinction Bingbing Li Sophia Myles Kelsey Grammer Michael Bay
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Action Adventure Fantasy Sci-Fi the amazing spider-man 2 Emma Stone Andrew Garfield B.J. Novak Marc Webb
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,Adventure Animation Comedy Family Sport cars 2 Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,Action Adventure Sci-Fi green lantern Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,Adventure Animation Comedy Family Fantasy toy story 3 Tom Hanks John Ratzenberger Don Rickles Lee Unkrich
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,Action Adventure Sci-Fi terminator salvation Christian Bale Bryce Dallas Howard Common McG
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,Action Crime Thriller furious 7 Jason Statham Paul Walker Vin Diesel James Wan
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,Action Adventure Horror Sci-Fi Thriller world war z Peter Capaldi Brad Pitt Mireille Enos Marc Forster
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller x-men: days of future past Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,Action Adventure Sci-Fi star trek into darkness Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,Adventure Fantasy jack the giant slayer Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,Action Adventure Fantasy Romance prince of persia: the sands of time Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,Action Adventure Sci-Fi pacific rim Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,Action Adventure Sci-Fi transformers: dark of the moon Glenn Morshower Lester Speight Kevin Dunn Michael Bay
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy indiana jones and the kingdom of the crystal skull Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,Adventure Animation Comedy Family Fantasy the good dinosaur A.J. Buckley Jack McGraw Peter Sohn Peter Sohn
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,Adventure Animation Comedy Family Fantasy brave Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,Action Adventure Sci-Fi Thriller star trek beyond Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,Adventure Animation Family Sci-Fi wall·e John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,Action Comedy Crime Thriller rush hour 3 Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner
